orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10100,2018-01-06,2018-01-13,2018-01-10,Shipped,,363
10101,2018-01-09,2018-01-18,2018-01-11,Shipped,Check on availability.,128
10102,2018-01-10,2018-01-18,2018-01-14,Shipped,,181
10103,2018-01-29,2018-02-07,2018-02-02,Shipped,,121
10104,2018-01-31,2018-02-09,2018-02-01,Shipped,,141
10105,2018-02-11,2018-02-21,2018-02-12,Shipped,,145
10106,2018-02-17,2018-02-24,2018-02-21,Shipped,,278
10107,2018-02-24,2018-03-03,2018-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131
10108,2018-03-03,2018-03-12,2018-03-08,Shipped,,385
10109,2018-03-10,2018-03-19,2018-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486
10110,2018-03-18,2018-03-24,2018-03-20,Shipped,,187
10111,2018-03-25,2018-03-31,2018-03-30,Shipped,,129
10112,2018-03-24,2018-04-03,2018-03-29,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,2018-03-26,2018-04-02,2018-03-27,Shipped,,124
10114,2018-04-01,2018-04-07,2018-04-02,Shipped,,172
10115,2018-04-04,2018-04-12,2018-04-07,Shipped,,424
10116,2018-04-11,2018-04-19,2018-04-13,Shipped,,381
10117,2018-04-16,2018-04-24,2018-04-17,Shipped,,148
10118,2018-04-21,2018-04-29,2018-04-26,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,216
10119,2018-04-28,2018-05-05,2018-05-02,Shipped,,382
10120,2018-04-29,2018-05-08,2018-05-01,Shipped,,114
10121,2018-05-07,2018-05-13,2018-05-13,Shipped,,353
10122,2018-05-08,2018-05-16,2018-05-13,Shipped,,350
10123,2018-05-20,2018-05-29,2018-05-22,Shipped,,103
10124,2018-05-21,2018-05-29,2018-05-25,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,112
10125,2018-05-21,2018-05-27,2018-05-24,Shipped,,114
10126,2018-05-28,2018-06-07,2018-06-02,Shipped,,458
10127,2018-06-03,2018-06-09,2018-06-06,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,151
10128,2018-06-06,2018-06-12,2018-06-11,Shipped,,141
10129,2018-06-12,2018-06-18,2018-06-14,Shipped,,324
10130,2018-06-16,2018-06-24,2018-06-21,Shipped,,198
10131,2018-06-16,2018-06-25,2018-06-21,Shipped,,447
10132,2018-06-25,2018-07-01,2018-06-28,Shipped,,323
10133,2018-06-27,2018-07-04,2018-07-03,Shipped,,141
10134,2018-07-01,2018-07-10,2018-07-05,Shipped,,250
10135,2018-07-02,2018-07-12,2018-07-03,Shipped,,124
10136,2018-07-04,2018-07-14,2018-07-06,Shipped,Customer is interested in buying more Ferrari models,242
10137,2018-07-10,2018-07-20,2018-07-14,Shipped,,353
10138,2018-07-07,2018-07-16,2018-07-13,Shipped,,496
10139,2018-07-16,2018-07-23,2018-07-21,Shipped,,282
10140,2018-07-24,2018-08-02,2018-07-30,Shipped,,161
10141,2018-08-01,2018-08-09,2018-08-04,Shipped,,334
10142,2018-08-08,2018-08-16,2018-08-13,Shipped,,124
10143,2018-08-10,2018-08-18,2018-08-12,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320
10144,2018-08-13,2018-08-21,2018-08-14,Shipped,,381
10145,2018-08-25,2018-09-02,2018-08-31,Shipped,,205
10146,2018-09-03,2018-09-13,2018-09-06,Shipped,,447
10147,2018-09-05,2018-09-12,2018-09-09,Shipped,,379
10148,2018-09-11,2018-09-21,2018-09-15,Shipped,They want to reevaluate their terms agreement with Finance.,276
10149,2018-09-12,2018-09-18,2018-09-17,Shipped,,487
10150,2018-09-19,2018-09-27,2018-09-21,Shipped,They want to reevaluate their terms agreement with Finance.,148
10151,2018-09-21,2018-09-30,2018-09-24,Shipped,,311
10152,2018-09-25,2018-10-03,2018-10-01,Shipped,,333
10153,2018-09-28,2018-10-05,2018-10-03,Shipped,,141
10154,2018-10-02,2018-10-12,2018-10-08,Shipped,,219
10155,2018-10-06,2018-10-13,2018-10-07,Shipped,,186
10156,2018-10-08,2018-10-17,2018-10-11,Shipped,,141
10157,2018-10-09,2018-10-15,2018-10-14,Shipped,,473
10158,2018-10-10,2018-10-18,2018-10-15,Shipped,,121
10159,2018-10-10,2018-10-19,2018-10-16,Shipped,,321
