customerNumber,checkNumber,paymentDate,amount
103,HQ336336,2019-10-19,6066.78
103,JM555205,2018-06-05,14571.44
103,OM314933,2019-12-18,1676.14
112,BO864823,2019-12-17,14191.12
112,HQ55022,2018-06-06,32641.98
112,ND748579,2019-08-20,33347.88
114,GG31455,2018-05-20,45864.03
114,MA765515,2019-12-15,82261.22
114,NP603840,2018-05-31,7565.08
114,NR27552,2019-03-10,44894.74
119,DB933704,2019-11-14,19501.82
119,LN373447,2019-08-08,47924.19
119,NG94694,2020-02-22,49523.67
121,DB889831,2018-02-16,50218.95
121,FD317790,2018-10-28,1491.38
121,KI831359,2019-11-04,17876.32
121,MA302151,2019-11-28,34638.14
124,BG255406,2019-08-28,85410.87
124,CQ287967,2018-04-11,11044.3
124,HI366474,2019-12-27,47142.7
124,HR86578,2019-11-02,55639.66
124,KI131716,2018-08-15,111654.4
124,LF217299,2019-03-26,43369.3
124,NT141748,2018-11-25,45084.38
128,DI925118,2018-01-28,10549.01
128,FA465482,2018-10-18,24101.81
128,FH668230,2019-03-24,33820.62
128,IP383901,2019-11-18,7466.32
129,DM826140,2019-12-08,26248.78
129,ID449593,2018-12-11,23923.93
129,PI42991,2018-04-09,16537.85
131,CL442705,2018-03-12,22292.62
131,MA724562,2019-12-02,50025.35
131,NB445135,2019-09-11,35321.97
141,AU364101,2018-07-19,36251.03
141,DB583216,2019-11-01,36140.38
141,HJ32686,2019-01-30,59830.55
141,ID10962,2019-12-31,116208.4
141,JN355280,2018-10-26,49539.37
141,JN722010,2018-02-25,40206.2
141,KT52578,2018-12-09,63843.55
141,MC46946,2019-07-09,35420.74
141,MF629602,2019-08-16,20009.53
141,NU627706,2019-05-17,26155.91
144,IR846303,2019-12-12,36005.71
144,LA685678,2018-04-09,7674.94
145,CN328545,2019-07-03,4710.73
145,ED39322,2019-04-26,28211.7
145,HR182688,2019-12-01,20564.86
145,JJ246391,2018-02-20,53959.21
146,FP549817,2019-03-18,40978.53
146,FU793410,2019-01-16,49614.72
146,LJ160635,2018-12-10,39712.1
148,BI507030,2018-04-22,44380.15
148,DD635282,2019-08-11,2611.84
148,KM172879,2018-12-26,105743.0
151,BF686658,2018-12-22,58793.53
151,GB852215,2019-07-26,20314.44
